ltable_ID,rtable_ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,lRating,rRating
a3172,b3176,Harvest Moon 64,Toy Box Studios|Victor Interactive Software,Natsume|Victor Interactive Software,Nintendo,Simulation|Management|Strategy,1999-11-30,8.7,8.4
a3173,b3177,Harvest Moon: A Wonderful Life,TOSE|Victor Interactive Software|Marucome (PS2),SCEA|Ubisoft|Victor Entertainment|505 Game Street|Marvelous|Nintendo Australia (AUS/GC|Natsume Co. Ltd (NA)|Marvelous Interactive (JP)|Natsume|505 Game Street (EU)|Victor Interactive Software|Marvelous Inc.,Nintendo|PlayStation,RPG|Simulation|Management|Strategy,2004-03-16,8.5,8.1
a3174,b3179,Harvest Moon: Another Wonderful Life,Marvelous Interactive|TOSE,Natsume|Marvelous,Nintendo,Simulation|Management|Strategy,2005-07-26,8.4,8.2
a3175,b3180,Harvest Moon: Back to Nature,TOSE|Victor Interactive Software (PlayStation)|Marvelous Interactive (PSP),Natsume|Ubisoft|Victor Interactive Software|Marvelous,PlayStation,Management|Strategy|Simulation/role-playing,2000-11-22,8.8,8.8
a3178,b3181,Harvest Moon DS,Marvelous Interactive|TOSE,Nintendo|Rising Star Games|Marvelous|Marvelous Interactive|Natsume,Nintendo,Simulation|Management|Strategy,2006-09-12,8.0,6.5
a3179,b3183,Harvest Moon: Friends of Mineral Town,Marvelous Interactive Inc.|TOSE,Ubisoft|Nintendo Australia Pty. Ltd|Natsume|Ltd|Natsume Co.|Victor Interactive Software,Nintendo,Simulation|Management|Strategy|Role-playing,2003-11-17,8.8,8.3
a3179,b3186,Harvest Moon: More Friends of Mineral Town,Marvelous Interactive|TOSE,Nintendo|Natsume|Ubisoft|Victor Interactive Software,Nintendo,Simulation|Management|Strategy,2003-11-17,8.8,9.2
a318,b387,Ape Escape,SCE Japan Studio|Japan Studio,Sony Computer Entertainment|SCEE|SCEA|SCEI,PlayStation,Action|Platformer|3D|Platform game,1999-05-31,8.6,8.0
a3180,b3184,Harvest Moon GB,TOSE|Victor Interactive Software,Nintendo|Natsume|Nintendo Australia|Victor Interactive Software,Nintendo,RPG|Simulation|Management|Strategy,1998-08-01,7.6,5.0
a3181,b3185,Harvest Moon: Magical Melody,Marvelous Interactive|Marvelous,Ubisoft|Nintendo|Rising Star Games|Marvelous|Marvelous Interactive|Natsume|Nintendo Australia,Nintendo|Wii,Social simulation|Role-playing|Management|Strategy,2006-03-28,8.6,7.9
a3182,b3186,Harvest Moon: More Friends of Mineral Town,Marvelous Interactive|TOSE,Nintendo|Natsume|Marvelous,Nintendo,Simulation|Management|Strategy,2005-07-26,8.7,9.2
a3183,b3187,Harvest Moon: Save the Homeland,Victor Interactive Software,Sony Interactive Entertainment|SCEA|Ubisoft|Marvelous|Natsume|Victor Interactive Software,PlayStation,Simulation|Management|Role-Playing|Strategy,2001-11-22,7.9,7.6
a3184,b3188,Harvest Moon: The Tale of Two Towns,Marvelous Interactive|Marvelous,Rising Star Games|Marvelous|NA: Natsume|JP: Marvelous Interactive|Natsume|EU: Rising Star Games|Marvelous Inc.,Nintendo,Simulation|Management|Role-Playing|Strategy,2011-09-20,7.9,6.4
a3185,b3189,Harvest Moon: Tree of Tranquility,Marvelous Interactive|Marvelous,Nintendo|Rising Star Games|Marvelous|AUS: Nintendo Australia Pty. Ltd|NA: Natsume|JP: Marvelous Interactive|Natsume|EU: Rising Star Games,Wii,Construction and management simulation|Management|Strategy,2008-09-30,8.1,6.3
a3186,b3190,Harvester,DigiFX Interactive,Merit Studios|Night Dive Studios|Virgin Interactive,Linux|PC,Point-and-Click|Adventure,1996-08-31,7.6,6.8
a3187,b3191,Harvey Birdman: Attorney at Law,High Voltage Software,Capcom of America|Capcom,PlayStation|Wii,First-Person|Adventure|Visual Novel|3D,2008-01-08,6.3,6.9
a3189,b3195,Hatred,Destructive Creations,Destructive Creations,PC,Action|2D|Fixed-Screen|Shooter,2015-06-01,5.1,6.2
a3190,b3199,Hatsune Miku: Project DIVA F,Crypton Future Media|Sega,Sega,PlayStation,Music/Rhythm,2013-08-27,8.6,8.6
a3193,b3206,Haunting Ground,Capcom,SCEA|Capcom,PlayStation,Adventure|Survival|Action|Survival horror|3D,2005-05-10,8.3,7.6
a3195,b3207,Haze,Free Radical Design,Ubisoft,PlayStation,First-Person|Action|Shooter|3D,2008-05-20,5.9,5.1
a3198,b3208,Headhunter,Amuze,Acclaim|Sega,PlayStation|Sega,Action|Adventure,2002-05-09,7.7,7.3
a3199,b3209,Headlander,Double Fine Productions|Adult Swim,Adult Swim Games|Adult Swim,PlayStation|PC|Xbox|Macintosh,Action|Platformer|2D|Platform,2016-07-26,8.1,7.3
a32,b36,2014 FIFA World Cup Brazil,EA Canada,EA Sports|Electronic Arts,PlayStation|Xbox,Team-Based|Sports|Simulation|Soccer,2014-04-15,7.0,7.1
a320,b392,Apocalypse,Neversoft|Neversoft Entertainment,Success|Activision,PlayStation,Action|Third-Person|Shooter|3D,1998-10-31,7.5,7.2
a3200,b3210,Heart of Darkness,Amazing Studios|Amazing Studio,ak tronic|Toshiba EMI|Infogrames|Interplay,PlayStation|PC,Action|Cinematic platformer|Platformer|2D,1998-07-31,7.9,7.8
a3201,b3211,Hearthstone: Heroes of Warcraft,Blizzard Entertainment,Blizzard Entertainment,Macintosh|PC|Mobile,Card Game|Strategy,2014-03-11,8.1,8.2
a3203,b3213,Hearts of Iron III,Paradox Development Studio|Paradox Interactive,Avanquest Software|CyberFront|Virtual Programming|Paradox Interactive,PC|Macintosh,Real-Time|Real-time grand strategy|Strategy,2009-08-07,7.1,6.5
a3208,b3218,Heavenly Sword,Ninja Theory,SCEA|SCEI|Sony Computer Entertainment Europe|SCE Korea|SCEE|SCE Australia,PlayStation,Third-Person|Adventure|Beat-'Em-Up|Beat 'em Up|Action|Hack and Slash|3D,2007-09-12,8.3,7.0
a3211,b3221,Heavy Metal: F.A.K.K. 2,Ritual Entertainment,Ritual Entertainment|Take-Two Interactive|Gathering,PC|Macintosh,Third-Person|Third-Person Shooter|Action|Shooter|3D,2000-08-06,7.6,8.0
a3213,b3222,Heavy Rain,Virtuos|Quantic Dream,Sony Interactive Entertainment|SCEA|SCEI|Sony Computer Entertainment|SCEE|SCE Australia,PlayStation|PC|Xbox,Interactive Art|Third-Person|Adventure|3D,2010-02-23,8.8,8.2
a3218,b3234,Hell Yeah! Wrath of the Dead Rabbit,Arkedo Studio,Sega,PlayStation|PC|Xbox,Action|Platformer|2D|Adventure,2012-09-25,7.0,6.7
a3220,b3235,Hellblade: Senua's Sacrifice,Ninja Theory,Ninja Theory,PlayStation|PC,Open-World|Adventure|Action|Hack and Slash|3D,2017-08-07,7.8,8.2
a3222,b3236,Helldivers,Arrowhead Game Studios,Sony Interactive Entertainment|SCEA|Sony Computer Entertainment America|SCEI|PlayStation Mobile Inc.|SCEE|SCE Australia,PlayStation|PC,Third-Person|Multidirectional|Action|Shooter|3D,2015-03-03,7.9,7.2
a3224,b3237,Hellgate: London,Flagship Studios,Infocomm Asia Holdings|HanbitSoft|Hanbitsoft|Namco|Electronic Arts|Namco Bandai Games|EA Games|Bandai Games,PC,Action|role-playing|Role-Playing,2007-10-31,7.2,6.6
a3229,b3238,Henry Hatsworth in the Puzzling Adventure,EA Tiburon,EA Games|Electronic Arts,Nintendo,Platformer|Action-adventure|2D|Platform|Action|Puzzle game,2009-03-17,8.4,7.7
a323,b394,Apollo Justice: Ace Attorney,Capcom,Capcom,Nintendo|Other|Mobile,Adventure,2008-02-19,8.3,8.0
a3234,b3242,Heretic II,Raven Software|Contraband Entertainment,Empire Interactive|Activision|Mac Play|Titan Computer,PC|Linux|Commodore|Macintosh,Third-Person|Adventure|Action|Shooter|3D,1998-10-31,8.2,6.7
a3237,b3249,Heroes Chronicles: Conquest of the Underworld,New World Computing|3DO,The 3DO Company|3DO,PC,Turn-Based|Strategy,2000-09-27,7.5,7.8
a3237,b3251,Heroes Chronicles: Warlords of the Wastelands,New World Computing|3DO,The 3DO Company|3DO,PC,Turn-Based|Strategy,2000-09-27,7.5,7.6
a3238,b3249,Heroes Chronicles: Conquest of the Underworld,New World Computing|3DO,The 3DO Company|3DO,PC,Turn-Based|Strategy,2000-09-27,7.6,7.8
a3238,b3251,Heroes Chronicles: Warlords of the Wastelands,New World Computing|3DO,The 3DO Company|3DO,PC,Turn-Based|Strategy,2000-09-27,7.6,7.6
a324,b396,Apotheon,Alientrap,Alientrap,PlayStation|Linux|PC|Macintosh,Adventure|Beat-'Em-Up|2D|Platform|Action,2015-02-03,7.1,7.4
a3241,b3261,Heroes of Might and Magic II: The Price of Loyalty,Cyberlore Studios,The 3DO Company|3DO,PC,Role-Playing|Strategy,1997-04-30,8.3,8.8
a3242,b3258,Heroes of Might and Magic III,New World Computing|Ubisoft|Loki Software|3DO,The 3DO Company|Ubisoft|Loki Software|3DO,Macintosh|PC|Mobile,Turn-Based|Strategy,1999-02-28,9.0,8.7
a3243,b3263,Heroes of Might and Magic IV: The Gathering Storm,New World Computing|3DO,3DO,PC,Turn-Based|Role-Playing|Strategy,2002-09-26,7.8,7.1
a3244,b3262,Heroes of Might and Magic IV,New World Computing|3DO,Mastertronic|Ubisoft|MediaQuest|3DO|The 3DO Company|ak tronic|Sold Out Software,PC|Macintosh,Turn-Based|Strategy,2002-03-29,8.1,7.4
a3246,b3266,Heroes of Might and Magic V: Tribes of the East,Nival Interactive,Rondomedia|Ubisoft|Ubisoft Entertainment|Nival Interactive,PC,Turn-Based|Strategy,2007-10-16,8.0,8.0
a3247,b3264,Heroes of Might and Magic V,Freeverse Software|Nival Interactive,Mastertronic|Ubisoft|Freeverse|ak tronic|Sold Out Software,PC|Macintosh,Turn-Based|Role-Playing|Strategy,2006-05-23,8.4,7.4
a3248,b3256,Heroes of Might and Magic: A Strategic Quest,New World Computing|KnowWonder|3DO,New World Computing|3DO,Nintendo|PC|Macintosh,Strategy|Turn-Based Strategy,1995-08-31,7.8,7.1
a3249,b3267,Heroes of Ruin,n-Space,Square Enix,Nintendo,Action|Role-Playing,2012-07-17,7.1,6.8
a3251,b3268,Heroes of the Storm,Blizzard Entertainment,Blizzard Entertainment,PC|Macintosh,Battle Arena|Strategy|MOBA,2015-06-02,7.5,7.5
a3255,b3276,Hexen II,Raven Software,id Software|Activision|Mac Play,PC|Macintosh,First-Person|Action|Shooter|3D,1997-08-31,7.9,7.1
a3258,b3277,Hexic HD,Carbonated Games,Microsoft Game Studios,Xbox,Puzzle,2005-11-22,7.5,5.8
a3260,b3278,Hexyz Force,Sting|Sting Entertainment,Atlus|ATLUS,PlayStation,Role-Playing,2010-05-24,8.2,7.3
a3261,b3279,Hey! Pikmin,Arzest,Nintendo,Nintendo,Third-Person|Platformer|2D|Platform|Action|Puzzle,2017-07-28,5.0,5.9
a3262,b3280,Hey You Pikachu!,Ambrella,Nintendo,Nintendo,Adventure|Simulation,2000-11-06,6.7,5.3
a3276,b3303,Hitman 2: Silent Assassin,Io Interactive|IO Interactive,Square Enix|Eidos Interactive|Sold Out Software,Nintendo|PlayStation|PC|Xbox,Action|Adventure|Stealth,2002-10-01,8.4,8.0
a3277,b3304,Hitman: Absolution,Io Interactive|Feral Interactive|IO Interactive|Nixxes Software,Square Enix|Feral Interactive,PlayStation|PC|Xbox|Macintosh,Action|Third-Person|Adventure|Shooter,2012-11-19,8.1,7.8
a3278,b3306,Hitman: Blood Money,Io Interactive|Morpheme|IO Interactive,Eidos Interactive|Mastertronic|Eidos|Spike|Io Interactive|GamersGate|ak tronic|Sold Out Software|Square Enix,PlayStation|Other|PC|Xbox|Mobile,Third-Person|Adventure|Tactical|Action|Shooter,2005-07-01,8.7,8.4
a3279,b3307,Hitman: Codename 47,Io Interactive|IO Interactive,Eidos Interactive|Sold Out Software,PC,Action|Third-Person|Adventure|Stealth,2000-11-19,7.6,7.1
a328,b399,AquaNox 2: Revelation,Massive Development,Inc.|JoWooD Entertainment AG|JoWood Productions|Encore Software,PC,Simulation,2003-08-22,7.3,7.0
a3280,b3308,Hitman: Contracts,Io Interactive|IO Interactive,ak tronic|Eidos Interactive|Sold Out Software|Square Enix,PlayStation|PC|Xbox,Third-Person|Stealth|Action|Third-person Shooter|Shooter|3D,2004-04-20,8.2,7.6
a3281,b3309,Hitman GO,Square Enix|Square Enix Montreal,Square Enix,PlayStation|Linux|Other|PC|Mobile,Turn-Based|VR|Strategy|Puzzle,2014-04-17,6.7,7.6
a3282,b3296,Hitman (2016),Io Interactive|IO Interactive,Square Enix|Io Interactive|Feral Interactive,PlayStation|Linux|Macintosh|PC|Xbox,Action|Adventure|Stealth,2016-03-11,7.2,8.2
a3283,b3311,Hoard,Inc.|Big Sandwich Games,Inc.|Big Sandwich Games,PlayStation|Linux|PC|Macintosh,Action|Strategy,2010-11-02,7.0,6.1
a3284,b3315,Hogs of War,Infogrames Sheffield|Infogrames Studios|Sheffield House|Infogrames,SCEA|Zoo Digital Publishing|Infogrames|Alternative Software|ak tronic,PlayStation|PC,Turn-Based|Turn-Based Tactics|Strategy,2000-09-05,8.4,7.7
