Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating
Return to Mysterious Island 2,Kheops Studio,Microids,PC,Adventure,14 August 2009,6.0
Return to PopoloCrois: A Story of Seasons Fairytale,Marvelous,XSEED Games|Nintendo,Nintendo 3DS,Simulation,01 March 2016,5.8
Reus,Abbey Games,Abbey Games,PC,Real-Time|Strategy,16 May 2013,6.8
Reveal The Deep,Lazy Monday Games,Lazy Monday,Linux|PC,Adventure,04 December 2015,6.3
Revelations: Persona,Atlus,Atlus,PlayStation|PSP,First-Person|Turn-Based|Role-Playing,25 October 1997,7.6
Revenge of the Titans,Puppy Games,Puppy Games,Mac|PC,Strategy|Tower Defense,14 December 2010,6.5
Reverse Crawl,Nerdook Productions,Digerati Distribution,PC,Role-Playing|Strategy,24 September 2015,5.9
Reversion - The Escape,Bulkypix,,PC,Point-and-Click|Adventure,,5.2
Reversion - The Meeting,3f interactive,,PC,Adventure|Puzzle,,6.0
Revolution Ace,Laser Guided Games,Laser Guided Games,PC,Action,19 March 2014,5.3
Revolution X,Midway (Arcade)|Rage Software (SNES|Mega Drive|PS1|Saturn),Midway (Arcade)|Acclaim (Consoles),Sega Mega Drive/Genesis|Super Nintendo,Light gun,23 May 1994,5.9
Rewrite,Key,Visual Art's,PC,Visual Novel,,9.3
Rexaura,Benjamin Bryant,Benjamin Bryant,Mac|PC,First-Person|Puzzle,10 December 2014,7.7
Rez,United Game Artists,Sega|Sony,Dreamcast|PlayStation 2|Xbox 360,Rail Shooter|Music,07 January 2002,8.2
Rez HD,Q Entertainment|Hexadrive,Microsoft Game Studios,Xbox 360,,30 January 2008,8.6
Rez Infinite,,Enhance Games,PC|PlayStation 4|PlayStation VR,Virtual Reality|Music/Rhythm,13 October 2016,8.2
Rhapsody: A Musical Adventure,Nippon Ichi Software,Nippon Ichi Software|Atlus|NIS America|Square Enix,Nintendo DS|PlayStation,Tactical role-playing,13 July 2000,6.4
