Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating
After Burner II,M2|Weebee Games|Sega|Sega Mobile|Sims|Rutubo Games|Sega AM2|Bits Laboratory,Sega|Dempa Shinbunsha|Tec Toy|Sega Mobile|SunSoft|NEC Interchannel,3DS|Amiga|Arcade Games|Genesis|Mobile|NES|PC|PlayStation 2|Saturn|TurboGrafx-16,2D|Shoot-'Em-Up|Action,1987,7.8
After Dark Games,Bandai,Bandai,PC,Action,30 Sep 1998,7.4
Afterfall: InSanity,Nicolas Intoxicate,The Games Company|Nicolas Intoxicate|1C,PC,Adventure|Survival|3D|Action,25 Nov 2011,6.1
Afterlife,LucasArts,LucasArts,Macintosh|PC,Strategy,1996,7.3
Again: Interactive Crime Novel,Cing,Tecmo,DS,Adventure,2 Apr 2010,6.4
Agassi Tennis Generation,Aqua Pacific,DreamCatcher Interactive,PlayStation 2,Tennis|Sports,25 Aug 2003,6.0
Agatha Christie: And Then There Were None,AWE Games,The Adventure Company,PC|Wii,Third-Person|Adventure|3D,30 Oct 2005,7.1
Agatha Christie: Evil Under the Sun,AWE Games,The Adventure Company,PC|Wii,Third-Person|3D|Adventure,16 Oct 2007,6.8
Agatha Christie: Murder on the Orient Express,AWE Games,The Adventure Company|DreamCatcher Interactive|Neogames,PC,3D|Third-Person|Adventure,21 Nov 2006,7.4
Age of Booty,Certain Affinity,Capcom,PC|PlayStation 3|Xbox 360,Real-Time|Strategy,15 Oct 2008,7.4
Age of Conan: Hyborian Adventures,Funcom,SCi|Eidos Interactive|ak tronic|Funcom,PC,MMO|Role-Playing,20 May 2008,7.7
Age of Empires II: The Age of Kings,Westlake Interactive|In-Fusio|Ensemble Studios|SkyBox Labs|Hidden Path Entertainment,Bold Games|In-Fusio|Microsoft Game Studios|Hidden Path Entertainment|Konami,Macintosh|Mobile|PC|PlayStation 2,Real-Time|Strategy,30 Sep 1999,8.9
Age of Empires III,Glu Mobile|Ensemble Studios|Destineer|Big Huge Games,Glu Mobile|MacSoft|Microsoft Game Studios,BlackBerry|Macintosh|Mobile|PC|Windows Mobile,Strategy|Real-Time,18 Oct 2005,8.4
Age of Empires: Mythologies,Griptonite Games,THQ,DS,Strategy,24 Nov 2008,8.0
Age of Empires Online,Gas Powered Games,Microsoft Game Studios,PC,Real-Time|Strategy,16 Aug 2011,6.5
Age of Empires: The Age of Kings,Backbone Entertainment,Majesco Games,DS,Strategy|Turn-Based,14 Feb 2006,8.2
Age of Empires,Microsoft Game Studios|In-Fusio|Ensemble Studios,MacSoft|In-Fusio|Microsoft Game Studios,Macintosh|Mobile|PC,Real-Time|Strategy,30 Sep 1997,7.9
Age of Mythology,Ensemble Studios,MacSoft|Microsoft Game Studios|ak tronic,Macintosh|PC,Strategy|Real-Time,1 Nov 2002,8.8
Age of Pirates: Caribbean Tales,Akella,Atari SA|Playlogic,PC,Role-Playing,12 Sep 2006,6.9
Age of Sail II: Privateer's Bounty,Akella,Global Star Software,PC,Strategy|Real-Time,13 Aug 2002,6.6
Age of Sail II,Akella,TalonSoft,PC,Strategy,1 Feb 2001,7.0
Age of Sail,TalonSoft,Empire Interactive|TalonSoft,PC,Strategy,30 Nov 1996,7.2
Age of Wonders II: The Wizard's Throne,Triumph Studios,Gathering|Triumph Studios|1C,PC,Turn-Based|Strategy,12 Jun 2002,8.4
Age of Wonders III,Triumph Studios,Triumph Studios,Linux|Macintosh|PC,Strategy|Turn-Based,31 Mar 2014,7.3
Age of Wonders: Shadow Magic,Triumph Studios,Triumph Studios|Gathering|Take-Two Interactive,PC,Turn-Based|Strategy,25 Jul 2003,8.5
Age of Wonders,Epic Games|Triumph Studios,Gathering|ak tronic|Take-Two Interactive|Triumph Studios,PC,Turn-Based|Strategy,11 Nov 1999,8.3
Age of Zombies,Halfbrick Studios,Halfbrick Studios|BlitWorks,Android|iOS (iPhone/iPad)|Ouya|PlayStation Vita|PSP,Survival|3D|Action|Adventure,25 Feb 2010,7.2
Agents of Mayhem,Volition Inc.,Deep Silver|Square Enix,PC|PlayStation 4|Xbox One,Action|Adventure,15 Aug 2017,6.3
Aggressive Inline,Full Fat|Z-Axis|Ltd.,Acclaim,Game Boy Advance|GameCube|PlayStation 2|Xbox,Sports|Skateboarding/Skating,28 May 2002,8.0
Agile Warrior F-111X,Black Ops Entertainment,Virgin Interactive,PC|PlayStation,Flight|Simulation,21 Nov 1995,6.5
AH-64D Longbow,Jane's Combat Simulations,Electronic Arts,PC,Simulation|Flight,31 May 1996,8.4
AHx-1,Pixel Multimedia,GT Interactive,PC,Flight|Simulation,31 Oct 1997,6.9
Aidyn Chronicles: The First Mage,H2O Interactive,THQ,Nintendo 64,Role-Playing,14 Mar 2001,6.8
Aion,NCSOFT,NCSOFT|NC Japan|GameForge|E-Frontier,PC,MMO|Role-Playing,22 Sep 2009,7.3
Air Battles: Sky Defender,Wild Hare Entertainment,Wild Hare Entertainment,PC,Simulation|Flight,15 Mar 2007,7.1
Air Conflicts: Aces of World War II,Cowboy Rodeo,Graffiti Entertainment,PSP,Simulation|Flight,14 Apr 2009,6.5
Air Traffic Chaos,Sonic Powered,Majesco Games|Ertain|Interchannel,DS,Strategy|Management,9 Sep 2008,7.7
Air Zonk,RED Entertainment,Hudson|Nintendo|Hudson Entertainment|Konami|Turbo Technologies|Inc.,TurboGrafx-16,Action|2D|Shoot-'Em-Up,1992,7.6
AirBlade,Criterion Games,Namco|SCEE,PlayStation 2,Sports,28 Jan 2002,7.0
Airborne Assault: Red Devils Over Arnhem,Panther Games,Battlefront.com,PC,Turn-Based|Strategy,17 Jun 2002,7.7
Airborne Troops: Countdown to D-Day,WideScreen Games,Playlogic|Mud Duck Productions,PC|PlayStation 2,3D|Action|Shooter|Third-Person,7 Jan 2005,5.1
Airfix Dogfighter,Paradox Interactive,EON Digital Entertainment,PC,Flight|Simulation,14 Jan 2000,7.9
AirForce Delta Storm,Konami|KCE Studios,Konami,Game Boy Advance|Xbox,Action|Shoot-'Em-Up|2D,14 Nov 2001,7.1
