,ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating,CleanRDate
2139,a2140,EA Sports Active,EA Canada,EA Sports,Wii,Fitness,19 May 2009,8.1,2009-05-19
2140,a2141,EA Sports MMA,EA Sports|EA Tiburon,Electronic Arts|EA Sports,iOS (iPhone/iPad)|PlayStation 3|Xbox 360,Boxing|Sports,19 Oct 2010,7.7,2010-10-19
2141,a2142,EA Sports UFC 2,EA Sports,EA Sports|Electronic Arts,PlayStation 4|Xbox One,Sports|Boxing,15 Mar 2016,7.1,2016-03-15
2142,a2143,EA Sports UFC 3,EA Sports,Electronic Arts,PlayStation 4|Xbox One,Boxing|Sports,30 Jan 2018,4.3,2018-01-30
2143,a2144,EA Sports UFC,Electronic Arts|EA Sports,Electronic Arts,Android|iOS (iPhone/iPad)|PlayStation 4|Xbox One,Boxing|Sports,17 Jun 2014,6.0,2014-06-17
2144,a2145,Eador: Masters of the Broken World,Snowbird Games|Snowbird Game Studios,Snowbird Games|Snowbird Game Studios|Mastertronic,Linux|Macintosh|PC,Strategy|Turn-Based,19 Apr 2013,6.7,2013-04-19
2145,a2146,Eagle Eye Golf,Telenet Japan,Aksys Games|505 Game Street|Telenet Japan,PlayStation 2,Simulation|Golf|Sports,10 Oct 2006,6.6,2006-10-10
2146,a2147,Eagle Flight,Funhouse,Ubisoft,PC|PlayStation 4,Simulation,31 Dec 2016,5.5,2016-12-31
2147,a2148,Eagle One: Harrier Attack,Glass Ghost,Infogrames,PlayStation,Flight|Simulation,31 Mar 2000,7.0,2000-03-31
2148,a2149,Earth 2140,TopWare Interactive|Runesoft|e.p.i.c. interactive,TopWare Interactive|Runesoft|Mac Play|Interplay,Amiga|Linux|Macintosh|PC,Real-Time|Strategy,31 Oct 1997,7.3,1997-10-31
2149,a2150,Earth 2150: Lost Souls,Zuxxez,Strategy First|Frogster Interactive|Oxygen Interactive|TopWare Interactive,PC,Strategy|Real-Time,9 Sep 2002,7.9,2002-09-09
2150,a2151,Earth 2150: The Moon Project,TopWare Interactive,Game Studios|TopWare Interactive|Frogster Interactive,PC,Strategy,11 Mar 2001,8.4,2001-03-11
2151,a2152,Earth 2150,TopWare Interactive,SSI|Mattel,PC,Strategy|Real-Time,1 Dec 2000,8.2,2000-12-01
2152,a2153,Earth 2160,Reality Pump,TopWare Interactive|Midway|Deep Silver,Linux|Macintosh|PC,Strategy|Real-Time,16 Nov 2005,7.9,2005-11-16
2153,a2154,Earth & Beyond,Westwood Studios,Electronic Arts,PC,MMO|Role-Playing,2 Sep 2002,7.8,2002-09-02
2154,a2155,Earth Defense Force 2017 Portable,Sandlot,D3Publisher,PlayStation Vita,3D|Action|Shooter|Third-Person,8 Jan 2013,7.1,2013-01-08
2155,a2156,Earth Defense Force 2017,Sandlot,D3Publisher,Xbox 360,Third-Person|3D|Action|Shooter,20 Mar 2007,7.5,2007-03-20
2156,a2157,Earth Defense Force 2025,Sandlot,D3Publisher|Bandai Namco Games,PlayStation 3|Xbox 360,Action|Shooter|Third-Person|3D,18 Feb 2014,7.2,2014-02-18
2157,a2158,Earth Defense Force: Insect Armageddon,Vicious Cycle,D3Publisher|Namco Bandai Games,PC|PlayStation 3|Xbox 360,3D|Action|Shooter|Third-Person,1 Jul 2011,7.3,2011-07-01
2158,a2159,Earthsiege 2,Dynamix,Sierra Entertainment,PC,Simulation,19 Mar 1996,7.6,1996-03-19
2159,a2160,Earthworm Jim 1&2: The Whole Can 'O Worms,Rainbow Arts,Interplay|Playmates,Linux|PC,Compilation,30 Apr 1996,8.6,1996-04-30
2160,a2161,Earthworm Jim 2,Super Empire|Shiny Entertainment|Rainbow Arts|Screaming Pink,Sierra Entertainment|Majesco Games|Playmates|Interplay|Tec Toy|Virgin Interactive|Sega|Funsoft|Takara,Game Boy Advance|Genesis|PC|Saturn|Super Nintendo,2D|Action|Platformer,November 1995,8.0,1995-11-01
2161,a2162,Earthworm Jim 3D,VIS Entertainment,Interplay|Rockstar Games|Frogster Interactive,Nintendo 64|PC,3D|Action|Platformer,31 Oct 1999,6.5,1999-10-31
2162,a2163,Earthworm Jim,Gameloft|Eurocom Entertainment Software|Game Titan|Shiny Entertainment|Kinesoft,Gameloft|Playmates|Majesco Games|Interplay|Virgin Interactive|Sega|Tec Toy|Activision|Takara|Microsoft Game Studios,BlackBerry|DS|Game Boy|Game Boy Advance|GameGear|Genesis|iOS (iPhone/iPad)|PC|PlayStation 3|Sega Master System|Super Nintendo|Windows Mobile|Xbox 360,2D|Action|Platformer,9 Jun 1994,8.1,1994-06-09
2163,a2164,East India Company,Nitro Games,Paradox Interactive|CyberFront,PC,Action|Adventure,28 Jul 2009,6.2,2009-07-28
2164,a2165,Eat Lead: The Return of Matt Hazard,Vicious Cycle,D3Publisher,PlayStation 3|Xbox 360,Shooter|Third-Person|3D|Action,26 Feb 2009,6.3,2009-02-26
2165,a2166,Eat Them!,FluffyLogic,SCEI|SCEE|SCE Australia|SCEA,PlayStation 3,Action,21 Dec 2010,6.6,2010-12-21
2166,a2167,Ecco Jr.,Novotrade|Sega,Sega,Genesis|PC,Action|2D|Platformer,15 Aug 1995,6.4,1995-08-15
2167,a2168,Ecco the Dolphin: Defender of the Future,Appaloosa Interactive,Sega|SCEE|Acclaim,Dreamcast|PlayStation 2,Action|Adventure,10 Sep 2000,7.9,2000-09-10
2168,a2169,Ecco the Dolphin,M2|Novotrade|Sega|Backbone Entertainment,Sega|Tec Toy|Samsung,3DS|GameGear|Genesis|iOS (iPhone/iPad)|PC|Sega CD|Sega Master System|Xbox 360,2D|Platformer|Action,29 Jul 1993,7.4,1993-07-29
2169,a2170,Ecco: The Tides of Time,Novotrade|Sega,Sega|Tec Toy,GameGear|Genesis|PC|Sega CD|Sega Master System,Action|2D|Platformer,25 Aug 1994,7.8,1994-08-25
2170,a2171,Echelon,Buka Entertainment,Bethesda Softworks|Buka Entertainment|Oxygen Interactive|Encore Software|Inc.,PC,Flight|Simulation,16 May 2001,7.1,2001-05-16
2171,a2172,ECHO (2017),Ultra Ultra,Ultra Ultra|Ultra Ultra APS,PC|PlayStation 4,Adventure|Action,19 Sep 2017,6.8,2017-09-19
