,ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating,CleanRDate
6396,b6397,Space Rangers HD: A War Apart,SNK Games|Elemental Games|Katauri Interactive,1C-SoftClub,PC,Top-Down|Turn-Based|Action|Adventure|Open World|Role-Playing|Sandbox|Simulation|Strategy,17 October 2013,7.0,2013-10-17
6397,b6398,Space Run,Passtech Games,Focus Home Interactive,PC,Strategy,13 June 2014,8.0,2014-06-13
6398,b6399,Space Siege,Gas Powered Games,Sega,PC,Action|role-playing,12 August 2008,5.2,2008-08-12
6399,b6400,Space Station Silicon Valley,DMA Design,Take-Two Interactive,Nintendo 64,Platformer,01 October 1998,8.0,1998-10-01
6400,b6401,Space Trader: Merchant Marine,Hermitworks Entertainment,Meridian4,PC,Strategy|Indie|Action,23 October 2008,3.7,2008-10-23
6401,b6402,Spacebase DF-9,Double Fine Productions,Double Fine Productions,PC,Simulation|Strategy,27 October 2014,3.3,2014-10-27
6402,b6403,Spacebase DF-9 Prototype,Double Fine,Double Fine,PC,Strategy,,5.4,
6403,b6404,Spaceplan,Jake Hollands,Devolver Digital,iOS|PC,Point-and-Click,03 May 2017,7.5,2017-05-03
6404,b6405,Sparkle 2 Evo,Forever Entertainment,,PC,Action|Simulation,20 November 2011,5.9,2011-11-20
6405,b6406,Sparkle 3: Genesis,Forever Entertainment,Forever Entertainment,PC,Simulation,24 April 2015,6.3,2015-04-24
6406,b6407,Sparkle ZERO,MMEU,Forever Entertainment,PC,Action|Simulation,14 March 2016,3.0,2016-03-14
6407,b6408,Sparkster: Rocket Knight Adventures 2,Konami,Konami,Sega Mega Drive/Genesis,Platform,22 February 1994,7.8,1994-02-22
6408,b6409,Sparkster (SNES),Konami,Konami,Super Nintendo,Platform game|Scrolling shooter,October 1994,7.8,1994-10-01
6409,b6410,Spartan: Total Warrior,The Creative Assembly,Sega,Nintendo GameCube|PlayStation 2|Xbox,Action,25 October 2005,7.5,2005-10-25
6410,b6411,Spate,Ayyo Games,Ayyo Games,PC,Platform,27 March 2014,6.9,2014-03-27
6411,b6412,Spec Ops: The Line,Yager Development,2K Games,Linux|Mac|PC|PlayStation 3|Xbox 360,Third-Person|Shooter|Tactical,26 June 2012,8.0,2012-06-26
